pl_name,rowid,pl_hostname,pl_letter,hd_name,hip_name,tic_id,gaia_id,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,disc_refname,disc_pubdate,disc_locale,disc_facility,disc_telescope,disc_instrument,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_cmasse,pl_cmasseerr1,pl_cmasseerr2,pl_cmasselim,pl_cmassj,pl_cmassjerr1,pl_cmassjerr2,pl_cmassjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tsystemref,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rastr,ra,decstr,dec,raerr1,raerr2,decerr1,decerr2,glat,glaterr1,glaterr2,glon,glonerr1,glonerr2,elat,elaterr1,elaterr2,elon,elonerr1,elonerr2,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_umag,sy_umagerr1,sy_umagerr2,sy_gmag,sy_gmagerr1,sy_gmagerr2,sy_rmag,sy_rmagerr1,sy_rmagerr2,sy_imag,sy_imagerr1,sy_imagerr2,sy_zmag,sy_zmagerr1,sy_zmagerr2,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w4mag,sy_w4magerr1,sy_w4magerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,rowupdate,pl_pubdate,releasedate,pl_nnotes,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,,,,,,
55 Cnc e,86,55 Cnc,e,HD 75732,HIP 43587,TIC 332064670,Gaia DR2 704967037090946688,0,2,5,0,0,Radial Velocity,2004,<a refstr=MCARTHUR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...614L..81M/abstract target=ref> McArthur et al. 2004 </a>,2004-10,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=MCARTHUR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...614L..81M/abstract target=ref> McArthur et al. 2004 </a>,2.808,0.002,-0.002,0,0.038,0.001,-0.001,0,,,,,,,,,,,,,,,,,14.30235,3.1783,-3.1783,0,0.045,0.01,-0.01,0,,,,,,,,,14.30235,3.1783,-3.1783,0,0.045,0.01,-0.01,0,Msini,,,,,0.174,0.127,-0.127,0,,,,,,,,,,,,,,,,,JD,0,,,,,,,,,,,,,,,,,,,,,,,,,2453295.31,0.32,-0.32,0,261.65,41.14,-41.14,0,6.665,0.81,-0.81,0,,,,,,,,,<a refstr=MCARTHUR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...614L..81M/abstract target=ref> McArthur et al. 2004 </a>,,,,,,,,,,0.95,0.08,-0.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,0.0773127,-0.0773127,0.0522157,-0.0522157,37.6989,,,196.7947,,,10.3671,,,127.7325,,,539.1329986,0.1295797,-0.1295797,-485.872,0.133857,-0.133857,-233.651,0.109171,-0.109171,12.5855,0.01235,-0.01235,79.4274,0.0776646,-0.0776646,6.816,0.019,-0.019,5.95084,0.023,-0.023,4.768,0.244,-0.244,4.265,0.234,-0.234,4.015,0.036,-0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.72973,0.0008523,-0.0008523,,,,5.2058,0.0061,-0.0061,,,,2016-10-12 11:43:08,2004-10,2016-10-13,6,1,9,11,3,40,,,,,,
55 Cnc e,87,55 Cnc,e,HD 75732,HIP 43587,TIC 332064670,Gaia DR2 704967037090946688,0,2,5,0,0,Radial Velocity,2004,<a refstr=MCARTHUR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...614L..81M/abstract target=ref> McArthur et al. 2004 </a>,2004-10,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=WRIGHT_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...693.1084W/abstract target=ref> Wright et al. 2009 </a>,2.79674,0.0001,-0.0001,0,0.0377,0.0022,-0.0022,0,,,,,,,,,,,,,,,,,7.4687,1.5573,-1.5573,0,0.0235,0.0049,-0.0049,0,,,,,,,,,7.4687,1.5573,-1.5573,0,0.0235,0.0049,-0.0049,0,Msini,,,,,0.264,0.06,-0.06,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2447578.2159,0.0001,-0.0001,0,157,38,-38,0,3.73,0.53,-0.53,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5250,147.57,-147.57,0,0.96,0.07,-0.07,0,0.9,0.12,-0.12,0,0.35,0.1,-0.1,0,[M/H],-0.197,0.011,-0.012,0,4.42,0.09,-0.09,0,,,,,1.4185,0.3777,-0.3777,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,0.0773127,-0.0773127,0.0522157,-0.0522157,37.6989,,,196.7947,,,10.3671,,,127.7325,,,539.1329986,0.1295797,-0.1295797,-485.872,0.133857,-0.133857,-233.651,0.109171,-0.109171,12.5855,0.01235,-0.01235,79.4274,0.0776646,-0.0776646,6.816,0.019,-0.019,5.95084,0.023,-0.023,4.768,0.244,-0.244,4.265,0.234,-0.234,4.015,0.036,-0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.72973,0.0008523,-0.0008523,,,,5.2058,0.0061,-0.0061,,,,2016-07-06 11:38:15,2009-03,2014-08-21,6,1,9,11,3,40,,,,,,
55 Cnc e,90,55 Cnc,e,HD 75732,HIP 43587,TIC 332064670,Gaia DR2 704967037090946688,0,2,5,0,0,Radial Velocity,2004,<a refstr=MCARTHUR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...614L..81M/abstract target=ref> McArthur et al. 2004 </a>,2004-10,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=BALUEV_2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.1493B/abstract target=ref>Baluev 2015</a>,0.7365515,1.5E-06,-1.5E-06,0,0.015691,0,0,0,,,,,,,,,8.13928,0.23201,-0.23201,0,0.02561,0.00073,-0.00073,0,,,,,,,,,,,,,,,,,8.13928,0.23201,-0.23201,0,0.02561,0.00073,-0.00073,0,Mass,,,,,0.04,0.027,-0.027,0,,,,,,,,,90,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,42,-42,0,5.97,0.17,-0.17,0,,,,,,,,,<a refstr=BALUEV_2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.1493B/abstract target=ref>Baluev 2015</a>,,,,,,,,,,0.95,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,0.0773127,-0.0773127,0.0522157,-0.0522157,37.6989,,,196.7947,,,10.3671,,,127.7325,,,539.1329986,0.1295797,-0.1295797,-485.872,0.133857,-0.133857,-233.651,0.109171,-0.109171,12.5855,0.01235,-0.01235,79.4274,0.0776646,-0.0776646,6.816,0.019,-0.019,5.95084,0.023,-0.023,4.768,0.244,-0.244,4.265,0.234,-0.234,4.015,0.036,-0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.72973,0.0008523,-0.0008523,,,,5.2058,0.0061,-0.0061,,,,2016-07-06 11:38:15,2015-01,2014-10-29,6,1,9,11,3,40,,,,,,
55 Cnc e,92,55 Cnc,e,HD 75732,HIP 43587,TIC 332064670,Gaia DR2 704967037090946688,0,2,5,0,0,Radial Velocity,2004,<a refstr=MCARTHUR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...614L..81M/abstract target=ref> McArthur et al. 2004 </a>,2004-10,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=NELSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441..442N/abstract target=ref> Nelson et al. 2014</a>,0.7365478,1.6E-06,-1.2E-06,0,0.015439,1.5E-05,-1.5E-05,0,,,,,,,,,8.09479,0.26061,-0.25743,0,0.02547,0.00082,-0.00081,0,,,,,,,,,,,,,,,,,8.09479,0.26061,-0.25743,0,0.02547,0.00082,-0.00081,0,Mass,,,,,0.028,0.022,-0.019,0,,,,,,,,,90.36,3.96,-4.66,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12,0.2,-0.2,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5250,147.57,-147.57,0,0.96,0.07,-0.07,0,0.9,0.12,-0.12,0,0.35,0.1,-0.1,0,[M/H],-0.197,0.011,-0.012,0,4.42,0.09,-0.09,0,,,,,1.4185,0.3777,-0.3777,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,0.0773127,-0.0773127,0.0522157,-0.0522157,37.6989,,,196.7947,,,10.3671,,,127.7325,,,539.1329986,0.1295797,-0.1295797,-485.872,0.133857,-0.133857,-233.651,0.109171,-0.109171,12.5855,0.01235,-0.01235,79.4274,0.0776646,-0.0776646,6.816,0.019,-0.019,5.95084,0.023,-0.023,4.768,0.244,-0.244,4.265,0.234,-0.234,4.015,0.036,-0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.72973,0.0008523,-0.0008523,,,,5.2058,0.0061,-0.0061,,,,2016-07-06 11:38:15,2014-06,2014-08-21,6,1,9,11,3,40,,,,,,
61 Vir b,101,61 Vir,b,HD 115617,HIP 64924,TIC 422478973,Gaia DR2 3507879565090229888,1,1,3,0,0,Radial Velocity,2009,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,2010-01,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,4.215,0.0006,-0.0006,0,0.050201,5E-06,-5E-06,0,,,,,,,,,,,,,,,,,5.1,0.5,-0.5,0,0.016,0.002,-0.002,0,,,,,,,,,5.1,0.5,-0.5,0,0.016,0.002,-0.002,0,Msini,,,,,0.12,0.11,-0.11,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,54,-54,0,2.12,0.23,-0.23,0,,,,,,,,,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,G5 V,5577,33,-33,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,-0.01,,,0,[Fe/H],-0.095,0.003,-0.003,0,4.34,0.03,-0.03,0,8.96,2.76,-3.08,0,,,,,1.9,,,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,0.1789512,-0.1789512,0.1833656,-0.1833656,44.09261,,,311.8591,,,-9.297813,,,205.0072,,,1508.8416272,0.3933829,-0.3933829,-1070.81,0.391373,-0.391373,-1063,0.395412,-0.395412,8.50332,0.017335,-0.017335,117.573,0.237902,-0.237902,0.072,0.244,-0.244,4.6955,0.0462,-0.0462,3.334,0.2,-0.2,2.974,0.176,-0.176,2.956,0.236,-0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54052,0.0055701,-0.0055701,,,,4.085,0.0082,-0.0082,,,,2014-05-14,2010-01,2014-05-14,0,1,6,9,0,0,,,,,,
BD-06 1339 b,137,BD-06 1339,b,,HIP 27803,TIC 66914642,Gaia DR2 3022099969137163904,1,1,2,0,0,Radial Velocity,2013,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,2013-03,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,3.8728,0.0004,-0.0004,0,0.0428,0.0007,-0.0007,0,,,,,,,,,,,,,,,,,8.5,1.3,-1.3,0,0.027,0.004,-0.004,0,,,,,,,,,8.5,1.3,-1.3,0,0.027,0.004,-0.004,0,Msini,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2455220.5,0.1,-0.1,0,0,,,0,4.4,0.6,-0.6,0,,,,,,,,,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,K7/M0 V,4324,100,-100,0,,,,,0.7,,,0,-0.14,0.17,-0.17,0,[Fe/H],-1.022,0.043,-0.048,0,4.74,0.02,-0.02,0,4.4,4,-4,0,,,,,0.57,,,0,,,,,23.62,0,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,0.0399268,-0.0399268,0.0489938,-0.0489938,-15.71535,,,211.6566,,,-29.42201,,,88.00313,,,346.7225761,0.0703183,-0.0703183,-1.04543,0.0702594,-0.0702594,-346.721,0.0703183,-0.0703183,20.2695,0.0219,-0.0219,49.3062,0.0529212,-0.0529212,10.972,0.062,-0.062,9.7,0.03,-0.03,7.128,0.018,-0.018,6.517,0.059,-0.059,6.305,0.018,-0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.10677,0.000602,-0.000602,,,,8.2906,0.006,-0.006,,,,2014-05-14,2013-03,2014-05-14,0,1,0,0,0,0,,,,,,
BD-08 2823 b,139,BD-08 2823,b,,HIP 49067,TIC 33355302,Gaia DR2 3770419611540574080,0,1,2,0,0,Radial Velocity,2009,<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacute,brard et al. 2010 </a>,2010-03,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacute,brard et al. 2010 </a>,5.6,0.02,-0.02,0,0.056,0.002,-0.002,0,,,,,,,,,,,,,,,,,14.4,2.1,-2.1,0,0.045,0.007,-0.007,0,,,,,,,,,14.4,2.1,-2.1,0,0.045,0.007,-0.007,0,Msini,,,,,0.15,0.15,-0.15,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2454637.7,1.6,-1.6,0,30,100,-100,0,6.5,1,-1,0,,,,,,,,,<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacute,brard et al. 2010 </a>,K3 V,4746,63,-63,0,,,,,0.74,0.07,-0.07,0,-0.07,0.03,-0.03,0,[Fe/H],,,,,4.13,0.26,-0.26,0,4.5,4,-4,0,,,,,1.4,,,0,,,,,53.34,0,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,0.0356337,-0.0356337,0.0317551,-0.0317551,34.75598,,,248.4966,,,-20.28332,,,155.8378,,,376.3791094,0.0660798,-0.0660798,-375.517,0.066106,-0.066106,25.4601,0.060117,-0.060117,41.3342,0.06835,-0.06835,24.1641,0.0397137,-0.0397137,10.88,0.087,-0.087,9.86,0.03,-0.03,7.96,0.02,-0.02,7.498,0.047,-0.047,7.323,0.021,-0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.50331,0.000418,-0.000418,,,,8.86,0.006,-0.006,,,,2018-04-25 14:08:32,2010-03,2014-05-14,0,1,1,0,0,0,,,
BD-08 2823 b,140,BD-08 2823,b,,HIP 49067,TIC 33355302,Gaia DR2 3770419611540574080,1,1,2,0,0,Radial Velocity,2009,<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacute,brard et al. 2010 </a>,2010-03,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,5.6,0.02,-0.02,0,0.06,0,0,0,,,,,,,,,,,,,,,,,12.7132,3.1783,-3.1783,0,0.04,0.01,-0.01,0,,,,,,,,,12.7132,3.1783,-3.1783,0,0.04,0.01,-0.01,0,Msini,,,,,0.15,0.15,-0.15,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,0.1,-0.1,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4816,114,-114,0,0.71,0.04,-0.04,0,0.5,0.26,-0.26,0,-0.06,,,0,[Fe/H],,,,,4.43,0.22,-0.22,0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,0.0356337,-0.0356337,0.0317551,-0.0317551,34.75598,,,248.4966,,,-20.28332,,,155.8378,,,376.3791094,0.0660798,-0.0660798,-375.517,0.066106,-0.066106,25.4601,0.060117,-0.060117,41.3342,0.06835,-0.06835,24.1641,0.0397137,-0.0397137,10.88,0.087,-0.087,9.86,0.03,-0.03,7.96,0.02,-0.02,7.498,0.047,-0.047,7.323,0.021,-0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.50331,0.000418,-0.000418,,,,8.86,0.006,-0.006,,,,2018-09-04 16:15:02,2017-03,2018-09-06,0,1,1,0,0,0,,,,,
CoRoT-7 c,248,CoRoT-7,c,,,TIC 280304863,Gaia DR2 3107267177757848576,1,1,2,0,0,Radial Velocity,2009,<a refstr=QUELOZ_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...506..303Q/abstract target=ref> Queloz et al. 2009 </a>,2009-10,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=QUELOZ_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...506..303Q/abstract target=ref> Queloz et al. 2009 </a>,3.698,0.003,-0.003,0,0.046,,,0,,,,,,,,,8.4,0.9,-0.9,0,0.02643,0.00283,-0.00283,0,,,,,,,,,,,,,,,,,8.4,0.9,-0.9,0,0.02643,0.00283,-0.00283,0,Mass,,,,,0,,,0,,,,,,,,,80,,,0,2454445,0.7,-0.7,0,JD,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,0,4,0.5,-0.5,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5256,111.09,-111.09,0,0.86,0.05,-0.05,0,0.9,0.11,-0.11,0,0.06,0.1,-0.1,0,[M/H],-0.289,0.018,-0.019,0,4.52,0.08,-0.08,0,,,,,1.9632,0.4151,-0.4151,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h43m49.48s,100.9561682,-01d03m46.83s,-1.0630076,0.0316601,-0.0316601,0.0317105,-0.0317105,-2.178573,,,213.0104,,,-24.04666,,,102.0101,,,10.9609274,0.0637152,-0.0637152,10.9604,0.0637152,-0.0637152,-0.10752,0.0640762,-0.0640762,159.906,0.9115,-0.9115,6.22504,0.0353939,-0.0353939,12.784,0.307,-0.307,11.728,0.027,-0.027,10.301,0.024,-0.024,9.88,0.022,-0.022,9.806,0.021,-0.021,,,,,,,,,,,,,,,,9.76,0.022,-0.022,9.824,0.019,-0.019,9.782,0.064,-0.064,7.926,,,11.5239,0.000462,-0.000462,,,,10.9996,0.0061,-0.0061,,,,2015-09-08 17:11:21,2009-10,2015-09-10,0,0,2,0,0,0,,,,,,
CoRoT-7 c,249,CoRoT-7,c,,,TIC 280304863,Gaia DR2 3107267177757848576,0,1,2,0,0,Radial Velocity,2009,<a refstr=QUELOZ_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...506..303Q/abstract target=ref> Queloz et al. 2009 </a>,2009-10,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=HAYWOOD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.2517H/abstract target=ref>Haywood et al. 2014</a>,3.7,0.02,-0.02,0,0.045,0.001,-0.001,0,,,,,,,,,13.56,1.08,-1.08,0,0.043,0.003,-0.003,0,,,,,,,,,,,,,,,,,13.56,1.08,-1.08,0,0.043,0.003,-0.003,0,Mass,,,,,0.12,0.06,-0.06,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2455953.3,0.3,-0.3,0,,,,,6.01,0.47,-0.47,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5256,111.09,-111.09,0,0.86,0.05,-0.05,0,0.9,0.11,-0.11,0,0.06,0.1,-0.1,0,[M/H],-0.289,0.018,-0.019,0,4.52,0.08,-0.08,0,,,,,1.9632,0.4151,-0.4151,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h43m49.48s,100.9561682,-01d03m46.83s,-1.0630076,0.0316601,-0.0316601,0.0317105,-0.0317105,-2.178573,,,213.0104,,,-24.04666,,,102.0101,,,10.9609274,0.0637152,-0.0637152,10.9604,0.0637152,-0.0637152,-0.10752,0.0640762,-0.0640762,159.906,0.9115,-0.9115,6.22504,0.0353939,-0.0353939,12.784,0.307,-0.307,11.728,0.027,-0.027,10.301,0.024,-0.024,9.88,0.022,-0.022,9.806,0.021,-0.021,,,,,,,,,,,,,,,,9.76,0.022,-0.022,9.824,0.019,-0.019,9.782,0.064,-0.064,7.926,,,11.5239,0.000462,-0.000462,,,,10.9996,0.0061,-0.0061,,,,2014-07-09,2014-01,2014-07-09,0,0,2,0,0,0,,,,,,
