pl_name,pl_hostname,TIC,MAX_D,P_bls,snr_bls,T0_bls,duration_bls,P_bls_n,snr_bls_n,T0_bls_n,duration_bls_n,MAX_I,P_foc,snr_foc,T0_foc,duration_foc,P_bls_n2,snr_bls_n2,T0_bls_n2,duration_bls_n2,P_tls,sde_tls,T0_tls,snr_tls,duration_tls
61 Vir b,61 Vir,422478973,22.39610146634959,7.45128304268101,10.4650816217588,1570.92820026006,0.202,1.23861989956063,8.89081196173602,1571.89870970888,0.195,22.39610146634959,,,,,,,,,,,,,
BD-06 1339 b,BD-06 1339,66914642,19.7719827071624,0.793117233411252,2.39489780379033,1468.43457419179,0.008,0.877507889356593,2.23184782248149,1468.71657419179,0.049,,,,,,,,,,,,,,
BD-08 2823 b,BD-08 2823,33355302,22.6420882939051,10.6404948090849,4.6629607544965,1518.65561678641,0.249,13.3601965435261,3.2413727554726,1518.52611678641,0.249,,,,,,,,,,,,,,
DMPP-1 c,DMPP-1,66560666,19.7719366048323,4.84794532823624,2.95110512403478,1470.13536015477,0.153,3.08554232519769,2.89058862545194,1469.30886015477,0.042,,,,,,,,,,,,,,
GJ 1061 b,GJ 1061,79611981,47.5764722822228,16.6175954473913,3.25298529842902,1396.5209754703,0.224,3.21548652191132,2.55625630101298,1388.7884754703,0.012,,,,,,,,,,,,,,
GJ 1132 c,GJ 1132,101955023,44.8775827696006,1.62891948346069,18.1729671403627,1544.71565273203,0.028,19.1179117366731,4.38830589649201,1562.65015273203,0.04,,,,,,,,,,,,,,
GJ 15 A b,GJ 15 A,440109725,21.2749122402834,4.33909022460493,9.66596112215419,1765.89842385993,0.238,0.700544998477358,7.27406268212138,1765.05642385993,0.181,,,,,,,,,,,,,,
GJ 163 b,GJ 163,219221189,66.4773504263405,13.3256825829326,3.16225623705549,1397.18213960866,0.228,6.65850797459712,2.68322660759551,1391.59263960866,0.138,,,,,,,,,,,,,,
GJ 180 b,GJ 180,246902275,24.2792503752048,25.81371537438931,12.172080535188686,1451.5277819175922,0.04,0.679646640111238,2.888899047786,1438.42128191759,0.083,,,,,,,,,,,,,,
GJ 273 b,GJ 273,318686860,22.4538842645302,1.39266386243701,2.96901754045491,1492.34924425277,0.086,3.45927813038109,2.66468384014693,1492.73724425277,0.121,,,,,,,,,,,,,,
